method,sweep,pop,working_set,run,mode,cyc_per_call,ns_per_call,dram_fills_per_call,l2_miss_per_call,freq_ghz
micro,footprint,4094,8,6,1,527.29,140.0000,0.000135,0.033040,3.7664
micro,footprint,4094,8,7,0,401.58,106.0000,0.000175,0.032565,3.7885
micro,footprint,4094,8,7,1,525.96,140.0000,0.000145,0.033345,3.7569
micro,footprint,4094,8,8,0,401.46,106.0000,0.000140,0.031475,3.7874
micro,footprint,4094,8,8,1,527.10,140.0000,0.000140,0.032905,3.7650
micro,footprint,4094,8,9,0,397.97,106.0000,0.000150,0.032895,3.7544
micro,footprint,4094,8,9,1,522.34,140.0000,0.000150,0.029735,3.7310
micro,footprint,4094,8,10,0,401.44,106.0000,0.000135,0.031580,3.7871
micro,footprint,4094,8,10,1,524.97,140.0000,0.000145,0.032305,3.7498
micro,footprint,4094,16,0,0,426.14,113.0000,0.000135,0.034635,3.7711
micro,footprint,4094,16,0,1,542.62,144.0000,0.000155,0.032800,3.7682
micro,footprint,4094,16,1,0,426.34,113.0000,0.000135,0.033020,3.7729
micro,footprint,4094,16,1,1,540.37,144.0000,0.000150,0.034615,3.7526
micro,footprint,4094,16,2,0,426.03,113.0000,0.000145,0.033085,3.7702
micro,footprint,4094,16,2,1,539.82,144.0000,0.000130,0.033335,3.7487
micro,footprint,4094,16,3,0,426.07,113.0000,0.000130,0.034380,3.7705
micro,footprint,4094,16,3,1,540.47,144.0000,0.000135,0.033550,3.7533
micro,footprint,4094,16,4,0,425.93,113.0000,0.000140,0.033005,3.7693
micro,footprint,4094,16,4,1,541.48,144.0000,0.000140,0.034695,3.7603
micro,footprint,4094,16,5,0,426.22,113.0000,0.000145,0.033275,3.7718
micro,footprint,4094,16,5,1,539.84,144.0000,0.000140,0.033385,3.7489
micro,footprint,4094,16,6,0,425.96,113.0000,0.000145,0.034680,3.7696
micro,footprint,4094,16,6,1,540.07,144.0000,0.000145,0.033255,3.7505
micro,footprint,4094,16,7,0,425.76,113.0000,0.000145,0.033220,3.7678
micro,footprint,4094,16,7,1,539.99,144.0000,0.000135,0.034855,3.7500
micro,footprint,4094,16,8,0,426.79,113.0000,0.000145,0.033005,3.7769
micro,footprint,4094,16,8,1,540.87,144.0000,0.000140,0.034855,3.7560
micro,footprint,4094,16,9,0,426.01,113.0000,0.000150,0.033325,3.7700
micro,footprint,4094,16,9,1,541.56,144.0000,0.000155,0.032980,3.7608
micro,footprint,4094,16,10,0,426.13,113.0000,0.000145,0.032845,3.7710
micro,footprint,4094,16,10,1,539.80,144.0000,0.000135,0.034625,3.7486
micro,footprint,4094,32,0,0,553.54,148.0000,0.000185,6.908630,3.7401
micro,footprint,4094,32,0,1,712.70,191.0000,0.000175,7.781910,3.7314
micro,footprint,4094,32,1,0,553.72,148.0000,0.000150,6.908480,3.7413
micro,footprint,4094,32,1,1,713.81,191.0000,0.000130,7.752595,3.7372
micro,footprint,4094,32,2,0,553.80,148.0000,0.000130,6.907485,3.7419
micro,footprint,4094,32,2,1,711.90,191.0000,0.000125,7.737525,3.7272
micro,footprint,4094,32,3,0,553.56,148.0000,0.000135,6.907035,3.7403
micro,footprint,4094,32,3,1,711.48,191.0000,0.000130,7.692665,3.7250
micro,footprint,4094,32,4,0,555.26,148.0000,0.000140,6.907165,3.7517
micro,footprint,4094,32,4,1,711.69,192.0000,0.000140,7.853640,3.7067
micro,footprint,4094,32,5,0,554.76,148.0000,0.000140,6.908720,3.7484
micro,footprint,4094,32,5,1,711.05,191.0000,0.000140,7.707630,3.7228
micro,footprint,4094,32,6,0,553.37,148.0000,0.000140,6.907340,3.7390
micro,footprint,4094,32,6,1,712.37,191.0000,0.000140,7.764340,3.7297
micro,footprint,4094,32,7,0,555.43,148.0000,0.000135,6.945070,3.7529
micro,footprint,4094,32,7,1,713.04,190.0000,0.000150,7.707875,3.7528
micro,footprint,4094,32,8,0,552.52,147.0000,0.000140,6.873080,3.7586
micro,footprint,4094,32,8,1,706.93,191.0000,0.000390,7.812240,3.7012
micro,footprint,4094,32,9,0,550.86,147.0000,0.000155,6.824985,3.7473
micro,footprint,4094,32,9,1,710.99,191.0000,0.000145,7.753255,3.7224
micro,footprint,4094,32,10,0,555.83,148.0000,0.000145,6.975040,3.7556
micro,footprint,4094,32,10,1,700.19,187.0000,0.000110,7.715240,3.7444
micro,footprint,4094,64,0,0,947.19,255.0000,0.000135,26.699740,3.7145
micro,footprint,4094,64,0,1,1170.92,316.0000,0.000145,27.760590,3.7054
micro,footprint,4094,64,1,0,944.48,254.0000,0.000150,26.718305,3.7184
micro,footprint,4094,64,1,1,1169.92,316.0000,0.000145,27.746195,3.7023
micro,footprint,4094,64,2,0,946.88,255.0000,0.000150,26.741145,3.7132
micro,footprint,4094,64,2,1,1169.73,316.0000,0.000165,27.761085,3.7017
micro,footprint,4094,64,3,0,943.87,254.0000,0.000145,26.664690,3.7160
micro,footprint,4094,64,3,1,1170.41,316.0000,0.000145,27.750660,3.7038
micro,footprint,4094,64,4,0,946.35,255.0000,0.000140,26.750915,3.7112
micro,footprint,4094,64,4,1,1155.21,312.0000,0.000150,27.780520,3.7026
micro,footprint,4094,64,5,0,948.06,255.0000,0.000145,26.722105,3.7179
micro,footprint,4094,64,5,1,1165.96,315.0000,0.000175,27.674785,3.7015
micro,footprint,4094,64,6,0,945.26,254.0000,0.000140,26.678955,3.7215
micro,footprint,4094,64,6,1,1165.21,314.0000,0.000125,27.645560,3.7108
micro,footprint,4094,64,7,0,947.22,255.0000,0.000150,26.739935,3.7146
micro,footprint,4094,64,7,1,1170.44,316.0000,0.000140,27.761515,3.7039
micro,footprint,4094,64,8,0,945.16,255.0000,0.000115,26.758340,3.7065
micro,footprint,4094,64,8,1,1170.31,316.0000,0.000140,27.749805,3.7035
micro,footprint,4094,64,9,0,948.20,255.0000,0.000125,26.739745,3.7184
micro,footprint,4094,64,9,1,1156.49,312.0000,0.000110,27.753745,3.7067
micro,footprint,4094,64,10,0,942.35,254.0000,0.000130,26.639945,3.7100
micro,footprint,4094,64,10,1,1170.79,316.0000,0.000150,27.773205,3.7050
micro,footprint,4094,128,0,0,1006.44,271.0000,0.000160,29.413190,3.7138
micro,footprint,4094,128,0,1,1210.47,327.0000,0.000175,29.905525,3.7018
micro,footprint,4094,128,1,0,1004.40,271.0000,0.000155,29.427480,3.7063
micro,footprint,4094,128,1,1,1208.92,326.0000,0.000145,29.896190,3.7083
micro,footprint,4094,128,2,0,1005.96,271.0000,0.000150,29.414810,3.7120
micro,footprint,4094,128,2,1,1211.87,327.0000,0.000135,29.918085,3.7060
micro,footprint,4094,128,3,0,1002.17,271.0000,0.000145,29.414445,3.6980
micro,footprint,4094,128,3,1,1209.05,326.0000,0.000140,29.906015,3.7087
micro,footprint,4094,128,4,0,1007.87,271.0000,0.000145,29.427340,3.7191
micro,footprint,4094,128,4,1,1211.23,327.0000,0.000130,29.929125,3.7041
micro,footprint,4094,128,5,0,1006.96,271.0000,0.000145,29.428200,3.7157
micro,footprint,4094,128,5,1,1208.76,326.0000,0.000135,29.895055,3.7079
micro,footprint,4094,128,6,0,1004.47,271.0000,0.000145,29.405400,3.7065
micro,footprint,4094,128,6,1,1202.22,325.0000,0.000150,29.915495,3.6991
micro,footprint,4094,128,7,0,1004.72,271.0000,0.000145,29.405465,3.7074
micro,footprint,4094,128,7,1,1211.62,327.0000,0.000140,29.926575,3.7053
micro,footprint,4094,128,8,0,1005.85,271.0000,0.000145,29.427050,3.7116
micro,footprint,4094,128,8,1,1209.12,326.0000,0.000135,29.899120,3.7090
micro,footprint,4094,128,9,0,1004.03,270.0000,0.000140,29.405630,3.7186
micro,footprint,4094,128,9,1,1211.64,327.0000,0.000130,29.926340,3.7053
micro,footprint,4094,128,10,0,1005.34,271.0000,0.000110,29.427825,3.7097
micro,footprint,4094,128,10,1,1210.24,327.0000,0.000135,29.913830,3.7010
micro,footprint,4094,256,0,0,1015.50,274.0000,0.000140,30.107240,3.7062
micro,footprint,4094,256,0,1,1224.40,331.0000,0.000150,30.805320,3.6991
micro,footprint,4094,256,1,0,1015.49,274.0000,0.000135,30.102385,3.7062
micro,footprint,4094,256,1,1,1222.80,330.0000,0.000145,30.766740,3.7055
micro,footprint,4094,256,2,0,1016.07,274.0000,0.000135,30.117960,3.7083
micro,footprint,4094,256,2,1,1224.97,330.0000,0.000145,30.801110,3.7120
micro,footprint,4094,256,3,0,1016.31,274.0000,0.000145,30.115800,3.7092
micro,footprint,4094,256,3,1,1210.33,327.0000,0.000150,30.771810,3.7013
micro,footprint,4094,256,4,0,1016.79,274.0000,0.000135,30.115505,3.7109
micro,footprint,4094,256,4,1,1225.50,331.0000,0.000140,30.815960,3.7024
micro,footprint,4094,256,5,0,1016.30,274.0000,0.000140,30.115465,3.7091
micro,footprint,4094,256,5,1,1229.74,331.0000,0.000145,30.793540,3.7152
micro,footprint,4094,256,6,0,1017.44,273.0000,0.000140,30.087880,3.7269
micro,footprint,4094,256,6,1,1224.21,331.0000,0.000170,30.805525,3.6985
micro,footprint,4094,256,7,0,1017.94,274.0000,0.000135,30.101120,3.7151
micro,footprint,4094,256,7,1,1225.44,330.0000,0.000140,30.781425,3.7135
micro,footprint,4094,256,8,0,1016.74,274.0000,0.000135,30.119575,3.7107
micro,footprint,4094,256,8,1,1224.07,330.0000,0.000125,30.780340,3.7093
micro,footprint,4094,256,9,0,1016.45,274.0000,0.000130,30.115685,3.7097
micro,footprint,4094,256,9,1,1224.78,331.0000,0.000135,30.806885,3.7002
micro,footprint,4094,256,10,0,1015.59,274.0000,0.000125,30.102565,3.7065
micro,footprint,4094,256,10,1,1224.17,330.0000,0.000135,30.801655,3.7096
micro,footprint,4094,512,0,0,995.57,268.0000,0.000150,29.478320,3.7148
micro,footprint,4094,512,0,1,1185.98,320.0000,0.000175,30.208780,3.7062
micro,footprint,4094,512,1,0,997.58,268.0000,0.000145,29.478535,3.7223
micro,footprint,4094,512,1,1,1190.73,321.0000,0.000150,30.228060,3.7094
micro,footprint,4094,512,2,0,995.83,268.0000,0.000155,29.477465,3.7158
micro,footprint,4094,512,2,1,1187.71,321.0000,0.000150,30.200380,3.7000
micro,footprint,4094,512,3,0,994.93,268.0000,0.000140,29.464910,3.7124
micro,footprint,4094,512,3,1,1185.77,321.0000,0.000155,30.209975,3.6940
micro,footprint,4094,512,4,0,995.49,268.0000,0.000125,29.445340,3.7145
micro,footprint,4094,512,4,1,1180.74,319.0000,0.000160,30.201595,3.7014
micro,footprint,4094,512,5,0,994.23,268.0000,0.000145,29.452930,3.7098
micro,footprint,4094,512,5,1,1187.81,321.0000,0.000120,30.198415,3.7004
micro,footprint,4094,512,6,0,994.38,268.0000,0.000135,29.448890,3.7104
micro,footprint,4094,512,6,1,1188.87,321.0000,0.000140,30.219800,3.7037
micro,footprint,4094,512,7,0,993.92,268.0000,0.000145,29.482875,3.7086
micro,footprint,4094,512,7,1,1190.00,321.0000,0.000140,30.228385,3.7072
micro,footprint,4094,512,8,0,996.46,268.0000,0.000135,29.465775,3.7181
micro,footprint,4094,512,8,1,1186.14,320.0000,0.000135,30.213410,3.7067
micro,footprint,4094,512,9,0,994.22,268.0000,0.000135,29.445865,3.7098
micro,footprint,4094,512,9,1,1188.68,321.0000,0.000140,30.220445,3.7030
micro,footprint,4094,512,10,0,992.04,268.0000,0.000145,29.477525,3.7016
micro,footprint,4094,512,10,1,1189.91,321.0000,0.000140,30.228710,3.7069
micro,footprint,4094,1024,0,0,955.95,257.0000,0.000145,28.340295,3.7196
micro,footprint,4094,1024,0,1,1127.71,304.0000,0.000145,30.076000,3.7096
micro,footprint,4094,1024,1,0,951.89,256.0000,0.000135,28.318075,3.7183
micro,footprint,4094,1024,1,1,1127.03,304.0000,0.000135,30.059465,3.7073
micro,footprint,4094,1024,2,0,954.04,257.0000,0.000135,28.352380,3.7122
micro,footprint,4094,1024,2,1,1122.94,304.0000,0.000150,30.077475,3.6939
micro,footprint,4094,1024,3,0,953.85,257.0000,0.000145,28.350745,3.7115
micro,footprint,4094,1024,3,1,1126.25,304.0000,0.000140,30.043775,3.7048
micro,footprint,4094,1024,4,0,955.78,257.0000,0.000140,28.349845,3.7190
micro,footprint,4094,1024,4,1,1127.50,304.0000,0.000150,30.069345,3.7089
micro,footprint,4094,1024,5,0,954.53,257.0000,0.000150,28.350065,3.7141
micro,footprint,4094,1024,5,1,1127.48,304.0000,0.000140,30.065025,3.7088
micro,footprint,4094,1024,6,0,951.71,256.0000,0.000140,28.318190,3.7176
micro,footprint,4094,1024,6,1,1127.85,304.0000,0.000150,30.080425,3.7100
micro,footprint,4094,1024,7,0,953.11,257.0000,0.000135,28.341340,3.7086
micro,footprint,4094,1024,7,1,1124.34,304.0000,0.000150,30.079060,3.6985
micro,footprint,4094,1024,8,0,954.34,257.0000,0.000130,28.356395,3.7134
micro,footprint,4094,1024,8,1,1128.74,304.0000,0.000135,30.072870,3.7130
micro,footprint,4094,1024,9,0,954.27,256.0000,0.000135,28.317075,3.7276
micro,footprint,4094,1024,9,1,1122.98,304.0000,0.000150,30.051995,3.6940
micro,footprint,4094,1024,10,0,953.83,257.0000,0.000135,28.351265,3.7114
micro,footprint,4094,1024,10,1,1126.34,304.0000,0.000140,30.048845,3.7051
micro,footprint,4094,2048,0,0,850.77,229.0000,0.000120,25.229920,3.7151
micro,footprint,4094,2048,0,1,993.75,268.0000,0.000130,27.847730,3.7080
micro,footprint,4094,2048,1,0,851.58,229.0000,0.000135,25.242530,3.7187
micro,footprint,4094,2048,1,1,996.35,268.0000,0.000135,27.853370,3.7177
micro,footprint,4094,2048,2,0,849.79,228.0000,0.000125,25.212550,3.7271
micro,footprint,4094,2048,2,1,995.60,268.0000,0.000140,27.853955,3.7149
micro,footprint,4094,2048,3,0,850.19,228.0000,0.000140,25.212710,3.7289
micro,footprint,4094,2048,3,1,992.51,267.0000,0.000135,27.829795,3.7173
micro,footprint,4094,2048,4,0,850.18,228.0000,0.000140,25.211640,3.7289
micro,footprint,4094,2048,4,1,995.02,268.0000,0.000140,27.849560,3.7127
micro,footprint,4094,2048,5,0,850.83,229.0000,0.000140,25.224480,3.7154
micro,footprint,4094,2048,5,1,994.44,268.0000,0.000135,27.854275,3.7106
micro,footprint,4094,2048,6,0,852.38,228.0000,0.000135,25.212120,3.7385
micro,footprint,4094,2048,6,1,994.92,268.0000,0.000145,27.853555,3.7124
micro,footprint,4094,2048,7,0,852.79,229.0000,0.000145,25.238775,3.7240
micro,footprint,4094,2048,7,1,994.20,268.0000,0.000145,27.843350,3.7097
micro,footprint,4094,2048,8,0,849.82,228.0000,0.000145,25.211540,3.7273
micro,footprint,4094,2048,8,1,994.86,268.0000,0.000130,27.838185,3.7122
micro,footprint,4094,2048,9,0,857.01,230.0000,0.000145,25.275875,3.7261
micro,footprint,4094,2048,9,1,992.79,267.0000,0.000140,27.829325,3.7183
micro,footprint,4094,2048,10,0,850.51,228.0000,0.000130,25.212070,3.7303
micro,footprint,4094,2048,10,1,991.40,268.0000,0.000135,27.849860,3.6992
micro,footprint,4094,4094,0,0,637.39,170.0000,0.000150,17.474265,3.7493
micro,footprint,4094,4094,0,1,737.34,198.0000,0.000150,20.178600,3.7239
micro,footprint,4094,4094,1,0,637.85,171.0000,0.000145,17.476560,3.7301
micro,footprint,4094,4094,1,1,738.20,198.0000,0.000140,20.174800,3.7283
micro,footprint,4094,4094,2,0,635.52,170.0000,0.000145,17.455505,3.7383
micro,footprint,4094,4094,2,1,737.59,198.0000,0.000130,20.180155,3.7252
micro,footprint,4094,4094,3,0,636.34,170.0000,0.000155,17.463410,3.7432
micro,footprint,4094,4094,3,1,737.35,198.0000,0.000145,20.178800,3.7240
micro,footprint,4094,4094,4,0,637.27,170.0000,0.000130,17.473545,3.7486
micro,footprint,4094,4094,4,1,737.69,198.0000,0.000135,20.180030,3.7257
micro,footprint,4094,4094,5,0,637.86,170.0000,0.000130,17.473530,3.7521
micro,footprint,4094,4094,5,1,736.45,198.0000,0.000145,20.168575,3.7194
micro,footprint,4094,4094,6,0,635.66,170.0000,0.000135,17.455740,3.7392
micro,footprint,4094,4094,6,1,737.79,198.0000,0.000130,20.180125,3.7262
micro,footprint,4094,4094,7,0,635.85,170.0000,0.000155,17.457310,3.7403
micro,footprint,4094,4094,7,1,737.11,198.0000,0.000145,20.178645,3.7228
micro,footprint,4094,4094,8,0,636.19,170.0000,0.000135,17.462260,3.7423
micro,footprint,4094,4094,8,1,736.72,198.0000,0.000140,20.169595,3.7208
micro,footprint,4094,4094,9,0,636.90,170.0000,0.000150,17.468585,3.7465
micro,footprint,4094,4094,9,1,737.33,198.0000,0.000140,20.174400,3.7239
micro,footprint,4094,4094,10,0,635.73,170.0000,0.000145,17.456490,3.7396
micro,footprint,4094,4094,10,1,740.21,198.0000,0.000135,20.179425,3.7384
literal,footprint,4094,1,0,0,,655.8128,,,
literal,footprint,4094,1,0,1,,697.3635,,,
literal,footprint,4094,2,0,0,,652.7913,,,
literal,footprint,4094,2,0,1,,688.4803,,,
literal,footprint,4094,4,0,0,,659.6094,,,
literal,footprint,4094,4,0,1,,691.0671,,,
literal,footprint,4094,8,0,0,,664.7900,,,
literal,footprint,4094,8,0,1,,695.3070,,,
literal,footprint,4094,16,0,0,,653.3065,,,
literal,footprint,4094,16,0,1,,692.7348,,,
literal,footprint,4094,32,0,0,,706.8302,,,
literal,footprint,4094,32,0,1,,754.6146,,,
literal,footprint,4094,64,0,0,,776.2666,,,
literal,footprint,4094,64,0,1,,852.7315,,,
literal,footprint,4094,128,0,0,,799.8439,,,
literal,footprint,4094,128,0,1,,856.2879,,,
literal,footprint,4094,256,0,0,,794.2427,,,
literal,footprint,4094,256,0,1,,866.1076,,,
literal,footprint,4094,512,0,0,,784.2232,,,
literal,footprint,4094,512,0,1,,856.0268,,,
literal,footprint,4094,1024,0,0,,789.6066,,,
literal,footprint,4094,1024,0,1,,853.1527,,,
literal,footprint,4094,2048,0,0,,761.1414,,,
literal,footprint,4094,2048,0,1,,803.9949,,,
literal,footprint,4094,4094,0,0,,703.4755,,,
literal,footprint,4094,4094,0,1,,737.8229,,,
